name,ticker,brokerage,issue_date,term,price_on_issue,price_now,pct_change
ITD Cementation India,ITDCEM.NS,Bajaj Broking,"Dec 30, 2024",Medium,531.6428833,818.2000122,53.90030374
Laurus Labs,LAURUSLABS.NS,Bajaj Broking,"Dec 27, 2024",Medium,585.9000854,832.2999878,42.05493538
Navin Fluorine International,NAVINFLUOR.NS,ICICI Securities,"Dec 27, 2024",Medium,3307.893799,4573.200195,38.25111909
Muthoot Finance,MUTHOOTFIN.NS,Axis Securities,"Jan 3, 2025",Medium,2210.201172,3020.300049,36.65272136
SBI Cards and Payment Services,SBICARD.NS,InCred Equities,"Dec 31, 2024",Medium,661.8724365,873.8499756,32.0269477
PTC Industries,PTCIL.NS,ICICI Securities,"Dec 24, 2024",Medium,12394.7002,15249,23.02838923
Shyam Metalics and Energy,SHYAMMETL.NS,ICICI Securities,"Jan 1, 2025",Medium,740.6507568,907.25,22.49363031
NBCC (India),NBCC.NS,Hem Securities,"Dec 26, 2024",Medium,91.16599274,105.1800003,15.37196837
Radico Khaitan,RADICO.NS,HDFC Securities,"Jan 6, 2025",Medium,2511.307861,2882.800049,14.79277763
HDFC Bank,HDFCBANK.NS,Motilal Oswal Financial Services,"Jan 8, 2025",Medium,828.7136841,945.0499878,14.0381782
Avenue Supermarts,DMART.NS,Motilal Oswal Financial Services,"Jan 3, 2025",Medium,4025.199951,4517.799805,12.23789773
Home First Finance Company India,HOMEFIRST.NS,Motilal Oswal Financial Services,"Dec 31, 2024",Medium,1052.293335,1178.699951,12.01248853
MTAR Technologies,MTARTECH.NS,Motilal Oswal Financial Services,"Dec 23, 2024",Medium,1689.449951,1879,11.2196309
Marico,MARICO.NS,Motilal Oswal Financial Services,"Jan 7, 2025",Medium,633.8813477,698.3499756,10.17045669
Jindal Steel & Power,JINDALSTEL.NS,ICICI Securities,"Jan 1, 2025",Medium,936.2426147,1029.5,9.96081398
Star Cement,STARCEMENT.NS,ICICI Securities,"Dec 31, 2024",Medium,231.4120789,253.0500031,9.350386679
Lemon Tree Hotels,LEMONTREE.NS,Motilal Oswal Financial Services,"Dec 20, 2024",Medium,153.3600006,165.8600006,8.150756358
HDFC Bank,HDFCBANK.NS,Axis Securities,"Jan 2, 2025",Medium,877.3565063,945.0499878,7.71561856
State Bank of India,SBIN.NS,ICICI Direct,"Dec 24, 2024",Next Quarter,796.0653687,856.9500122,7.648196486
ICICI Bank,ICICIBANK.NS,Axis Securities,"Jan 7, 2025",Medium,1269.454834,1359.599976,7.101090893
Kajaria Ceramics,KAJARIACER.NS,Motilal Oswal Financial Services,"Dec 26, 2024",Medium,1106.552368,1182.800049,6.890562332
Shriram Finance,SHRIRAMFIN.NS,Axis Securities,"Dec 23, 2024",Medium,571.3392334,606.0499878,6.075331846
Hindustan Petroleum Corporation,HINDPETRO.NS,Axis Securities,"Jan 3, 2025",Medium,402.5001831,422.25,4.906784574
Larsen & Toubro,LT.NS,JM Financial,"Jan 6, 2025",Medium,3569.905762,3729.5,4.470544853
PNB Housing Finance,PNBHOUSING.NS,Motilal Oswal Financial Services,"Dec 27, 2024",Medium,846.6854248,864.0999756,2.056791138
JSW Infrastructure,JSWINFRA.NS,Motilal Oswal Financial Services,"Dec 31, 2024",Medium,317.1875,322.6499939,1.722165563
Mahanagar Gas,MGL.NS,HDFC Securities,"Jan 9, 2025",Medium,1242.670776,1237.699951,-0.400011434
Hudco,HUDCO.NS,Bajaj Broking,"Dec 26, 2024",Medium,221.7927399,220.0500031,-0.785750164
Dabur India,DABUR.NS,Motilal Oswal Financial Services,"Jan 7, 2025",Medium,503.7971191,499.75,-0.8033232
Aditya Birla Sun Life AMC,ABSLAMC.NS,Axis Securities,"Jan 2, 2025",Medium,807.5592041,777.5,-3.72222915
Metro Brands,METROBRAND.NS,Motilal Oswal Financial Services,"Jan 2, 2025",Medium,1278.378784,1219,-4.644850565
Devyani International,DEVYANI.NS,Motilal Oswal Financial Services,"Dec 24, 2024",Medium,179.5899963,169.9100037,-5.390051157
Azad Engineering,AZAD.NS,ICICI Securities,"Dec 20, 2024",Medium,1659.099976,1556.800049,-6.165989287
Antony Waste Handling Cell,AWHCL.NS,Hem Securities,"Dec 26, 2024",Medium,614.8499756,560.3499756,-8.863950909
GAIL (India),GAIL.NS,Motilal Oswal Financial Services,"Dec 24, 2024",Long Term,189.7497406,172.0200043,-9.343747334
KEI Industries,KEI.NS,Motilal Oswal Financial Services,"Jan 2, 2025",Medium,4473.539063,4049.300049,-9.483297402
JSW Energy,JSWENERGY.NS,Axis Securities,"Jan 8, 2025",Long Term,577.069519,520.0999756,-9.872214972
TCI Express,TCIEXP.NS,Motilal Oswal Financial Services,"Dec 30, 2024",Medium,814.8169556,722.6500244,-11.31136638
Prestige Estates Projects,PRESTIGE.NS,Bajaj Broking,"Dec 24, 2024",Medium,1749.885864,1507.400024,-13.85723748
Himadri Speciality Chemical,HSCL.NS,ICICI Securities,"Dec 19, 2024",Medium,540.6657104,452.5,-16.30688034
Indian Hotels Company,INDHOTEL.NS,Motilal Oswal Financial Services,"Dec 20, 2024",Medium,851.5958252,709.7999878,-16.65060269
Anant Raj,ANANTRAJ.NS,Motilal Oswal Financial Services,"Dec 23, 2024",Medium,829.8511353,679.7000122,-18.09374196
JSW Energy,JSWENERGY.NS,Hem Securities,"Jan 2, 2025",Medium,638.4768677,520.0999756,-18.54051385
Ipca Laboratories,IPCALAB.NS,Motilal Oswal Financial Services,"Jan 1, 2025",Medium,1690.603882,1371.199951,-18.89288994
JSW Energy,JSWENERGY.NS,Motilal Oswal Financial Services,"Jan 1, 2025",Medium,641.763855,520.0999756,-18.9577332
Jubilant Foodworks,JUBLFOOD.NS,Motilal Oswal Financial Services,"Jan 8, 2025",Medium,749.0940552,606.9000244,-18.98213312
Bata India,BATAINDIA.NS,Motilal Oswal Financial Services,"Jan 3, 2025",Medium,1449.764038,1168.099976,-19.42826937
V-Mart Retail,VMART.NS,Motilal Oswal Financial Services,"Jan 6, 2025",Medium,907.2249756,723.4000244,-20.26233361
Jubilant Foodworks,JUBLFOOD.NS,HDFC Securities,"Jan 6, 2025",Medium,765.2658081,606.9000244,-20.69421919
Awfis Space Solutions,AWFIS.NS,ICICI Securities,"Dec 20, 2024",Long Term,714.6500244,565.5499878,-20.8633641
Himadri Speciality Chemical,HSCL.NS,Bajaj Broking,"Dec 27, 2024",Medium,572.2258301,452.5,-20.92282868
Siemens,SIEMENS.NS,Motilal Oswal Financial Services,"Dec 26, 2024",Long Term,3922.339111,3096.300049,-21.05985839
Jyothy Labs,JYOTHYLAB.NS,HDFC Securities,"Jan 7, 2025",Medium,393.87146,310.5,-21.16717468
Petronet LNG,PETRONET.NS,Geojit Financial Services,"Dec 31, 2024",Medium,342.7483826,266.8999939,-22.12946655
Persistent Systems,PERSISTENT.NS,InCred Equities,"Dec 23, 2024",Medium,6364.845215,4951,-22.21334796
Infosys,INFY.NS,BNP Paribas Securities,"Jan 8, 2025",Medium,1906.327759,1448.900024,-23.99523022
Infosys,INFY.NS,Axis Securities,"Jan 3, 2025",Medium,1911.850098,1448.900024,-24.2147684
HCL Technologies,HCLTECH.NS,BNP Paribas Securities,"Jan 7, 2025",Medium,1866.743896,1395.300049,-25.25487554
Varun Beverages,VBL.NS,Axis Securities,"Jan 8, 2025",Long Term,605.2235107,444.75,-26.51475164
Piramal Pharma,PPLPHARMA.NS,JM Financial,"Dec 19, 2024",Long Term,261.4306335,187.7299957,-28.19127844
Kalyan Jewellers,KALYANKJIL.NS,Motilal Oswal Financial Services,"Jan 9, 2025",Medium,660.6168823,455.7999878,-31.0038844
EPACK Durables,EPACK.NS,ICICI Securities,"Dec 30, 2024",Medium,526.9500122,354.9500122,-32.64066724
Man Infraconstruction,MANINFRA.NS,Axis Securities,"Jan 1, 2025",Medium,250.3737488,149.0599976,-40.4650055
Brainbees Solutions,FIRSTCRY.NS,JM Financial,"Dec 23, 2024",Medium,614.8499756,362.8500061,-40.98560291
Raymond Lifestyle,RAYMOND.NS,Motilal Oswal Financial Services,"Dec 30, 2024",Long Term,1680.150024,607.1500244,-63.86334461
